WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
18.0	12.1	14.4685	1173.6984	4999.9857	43.0935	340.13292099999995	4180.2123751	437.2746	4179.9371	0.1924	-0.0495	0.1223	0.1401	4.4749
18.25	12.1	14.8068	1173.6968	4999.9796	43.0935	335.9827048	4180.1794438	433.0963	4179.967	0.1906	-0.0496	0.1174	0.1346	4.4136
18.5	12.1	15.1401	1173.6968	4999.9788	43.0935	332.08174449999996	4180.1511156999995	429.1666	4180.0029	0.1889	-0.0496	0.1127	0.1295	4.3539
18.75	12.1	15.4686	1173.6962	4999.9834	43.0935	328.3719688	4180.1192467	425.4328	4180.0435	0.1873	-0.0497	0.1082	0.1247	4.2959
19.0	12.1	15.7929	1173.697	4999.9761	43.0935	324.8181883	4180.0650694	421.8533	4180.0817	0.1859	-0.0497	0.104	0.1201	4.2393
19.25	12.1	16.1131	1173.6969	4999.9796	43.0935	321.51127779999996	4179.993187	418.5285	4180.1233	0.1845	-0.0498	0.1	0.1158	4.1842
19.5	12.1	16.4297	1173.6965	4999.9838	43.0935	318.3751107	4179.9074947	415.3769	4180.1532	0.1833	-0.0499	0.0962	0.1118	4.1305
19.75	12.1	16.7428	1173.6975	4999.9869	43.0935	315.3653879	4179.8504846000005	412.3527	4180.1735	0.1822	-0.0499	0.0926	0.1079	4.0782
20.0	12.1	17.0526	1173.6969	4999.9865	43.0935	312.5654477	4179.8076384	409.5325	4180.1775	0.1812	-0.0499	0.0892	0.1043	4.0272
20.25	12.1	17.3596	1173.6972	4999.9904	43.0935	309.9467156	4179.7704579	406.9006	4180.1708	0.1803	-0.05	0.0859	0.1009	3.9774
20.5	12.1	17.6641	1173.6984	4999.993	43.0935	307.4291607	4179.7439004	404.3671	4180.1505	0.1794	-0.05	0.0828	0.0976	3.9288
20.75	12.1	17.9662	1173.698	4999.9934	43.0935	304.95574200000004	4179.7272577	401.8779	4180.1223	0.1786	-0.0501	0.0798	0.0945	3.8815
21.0	12.1	18.2658	1173.6984	4999.9915	43.0936	302.4423621	4179.7138018	399.3491	4180.0834	0.1777	-0.0501	0.077	0.0915	3.8352
21.25	12.1	18.5701	1173.6988	4999.9946	43.0936	299.9182463	4180.0232855	396.7993	4179.9933	0.1768	-0.0501	0.0743	0.0887	3.79
21.5	12.1	18.8725	1173.6984	4999.9942	43.0935	297.4499787	4179.6674147	394.3287	4180.0192	0.1759	-0.0501	0.0718	0.0859	3.7459
21.75	12.1	19.1708	1173.6974	4999.9873	43.0936	295.15977419999996	4179.9634426	392.0172	4179.962	0.1751	-0.0501	0.0693	0.0833	3.7027
22.0	12.0999	19.4769	1173.6862	4999.9722	43.0938	292.7570602	4180.4829076999995	389.5339	4180.0016	0.1741	-0.0501	0.067	0.0807	3.6606
22.25	12.0999	19.7835	1173.6903	4999.985	43.0938	290.4903336	4181.2254561	387.2521	4179.9694	0.1734	-0.0502	0.0648	0.0783	3.6194
22.5	12.1	20.0866	1173.6938	4999.9919	43.0937	288.2054428	4179.6415654	385.0189	4179.8936	0.1726	-0.0502	0.0626	0.076	3.5791
22.75	12.0999	20.3891	1173.6836	4999.9815	43.094	286.1314191	4180.462724	382.9162	4180.0043	0.1718	-0.0501	0.0606	0.0738	3.5397
23.0	12.1	20.694	1173.6937	4999.9773	43.0936	284.1534757	4182.4070888999995	380.7638	4180.1329	0.1711	-0.0501	0.0587	0.0717	3.5011
23.25	12.1	21.0021	1173.6929	4999.968	43.0935	281.83973910000003	4177.5987606	378.6815	4180.1938	0.1706	-0.0502	0.0567	0.0696	3.4635
23.5	12.1	21.2925	1173.6974	4999.9907	43.0936	280.2392311	4181.4910314	376.9312	4180.228	0.1702	-0.0502	0.055	0.0677	3.4266
23.75	12.1	21.5835	1173.698	4999.9846	43.0935	278.4831619	4181.7417344	375.1757	4180.3909	0.1699	-0.0503	0.0533	0.0659	3.3905
24.0	12.0999	21.8752	1173.6828	4999.9938	43.0941	276.6324762	4180.5300031	373.3343	4180.5126	0.1696	-0.0504	0.0516	0.0641	3.3551
24.25	12.1001	22.1545	1173.7088	5000.0154	43.0934	274.9825183	4179.4114002	371.7175	4180.469	0.1695	-0.0504	0.05	0.0624	3.3205
24.5	12.1	22.44	1173.7009	5000.0138	43.0936	273.40196380000003	4182.068569	369.969	4180.4484	0.1691	-0.0504	0.0485	0.0608	3.2865
24.75	12.1003	22.7264	1173.7263	5000.0169	43.0927	271.6508829	4180.1334107	368.3222	4180.3081	0.1688	-0.0505	0.0471	0.0592	3.2533
25.0	12.0999	23.0135	1173.6946	5000.0142	43.0939	269.8441166	4177.5750359	366.6017	4180.1894	0.1686	-0.0505	0.0456	0.0576	3.2208
