# x                          U1x                         U1y                    U1z                      V1x                           V1y                  V1z                       U2x                           U2y                    U2z                        V2x                           V2y                  V2z                                               
1.269976499999999930e+01 8.704328083309552724e-03 1.566870657333485121e-05 0.000000000000000000e+00 -3.692663984309171293e-06 2.022471057192356831e-03 0.000000000000000000e+00 -5.974624120955189841e-05 2.374486744228304635e-02 0.000000000000000000e+00 -5.090400528995050154e-03 -1.278935078987897032e-05 0.000000000000000000e+00
1.369975499999999968e+01 1.088207726006774900e-02 1.967974599299682627e-05 0.000000000000000000e+00 -4.342411470762953515e-06 2.339492027504424827e-03 0.000000000000000000e+00 -7.315970629331969657e-05 2.911478918812067038e-02 0.000000000000000000e+00 -5.648736097855776989e-03 -1.403836215489718986e-05 0.000000000000000000e+00
1.470097499999999968e+01 1.339963691253043439e-02 2.440187797077953926e-05 0.000000000000000000e+00 -5.104419512654692352e-06 2.696046816234499814e-03 0.000000000000000000e+00 -8.780634340797522578e-05 3.505718419091031351e-02 0.000000000000000000e+00 -6.230224552949893690e-03 -1.523643542131668274e-05 0.000000000000000000e+00
1.569973500000000044e+01 1.628634207101974443e-02 2.991449306924946709e-05 0.000000000000000000e+00 -5.948156698316537390e-06 3.091025446626562406e-03 0.000000000000000000e+00 -1.036837904379248201e-04 4.160020980420776893e-02 0.000000000000000000e+00 -6.891281999280227978e-03 -1.659805096174775036e-05 0.000000000000000000e+00
1.669972500000000082e+01 1.958784652652445502e-02 3.631210079116745250e-05 0.000000000000000000e+00 -6.853059988574987769e-06 3.514707826399723987e-03 0.000000000000000000e+00 -1.210226664081988005e-04 4.885126531425419000e-02 0.000000000000000000e+00 -7.608737396887402249e-03 -1.807414774489632419e-05 0.000000000000000000e+00
1.769971499999999764e+01 2.331942242198722579e-02 4.362874729047071124e-05 0.000000000000000000e+00 -7.782612081226758261e-06 3.949519716153483163e-03 0.000000000000000000e+00 -1.398221768864819740e-04 5.681395698351975748e-02 0.000000000000000000e+00 -8.315470963759502912e-03 -1.952163365104391589e-05 0.000000000000000000e+00
1.970092499999999802e+01 3.210747055304299935e-02 6.109493453360156782e-05 0.000000000000000000e+00 -9.681739975844221480e-06 4.837138326895432106e-03 0.000000000000000000e+00 -1.817413529796065832e-04 7.485356995041791972e-02 0.000000000000000000e+00 -9.708913390521847070e-03 -2.235979652055460231e-05 0.000000000000000000e+00
2.170028999999999897e+01 4.268685325599130137e-02 8.239726506721674229e-05 0.000000000000000000e+00 -1.163854569267524512e-05 5.750624240122633769e-03 0.000000000000000000e+00 -2.292063458461037363e-04 9.562978714787108425e-02 0.000000000000000000e+00 -1.106675368357981117e-02 -2.510121141503058204e-05 0.000000000000000000e+00
2.370026999999999973e+01 5.513312559645344030e-02 1.077012008019145157e-04 0.000000000000000000e+00 -1.368425744947463122e-05 6.704187346244712929e-03 0.000000000000000000e+00 -2.820492313538417199e-04 1.190838164794691817e-01 0.000000000000000000e+00 -1.237948742067222774e-02 -2.772008385671041313e-05 0.000000000000000000e+00
2.570025000000000048e+01 6.954015006004819754e-02 1.372151133584311150e-04 0.000000000000000000e+00 -1.585223335220488911e-05 7.713072539063827934e-03 0.000000000000000000e+00 -3.399927371455784171e-04 1.451138728568767688e-01 0.000000000000000000e+00 -1.364217535424981469e-02 -3.019967940940200866e-05 0.000000000000000000e+00
2.770023000000000124e+01 8.604331649432853113e-02 1.712373963075137975e-04 0.000000000000000000e+00 -1.821443144089308122e-05 8.810362175573625484e-03 0.000000000000000000e+00 -4.027563003078012951e-04 1.736232331874547063e-01 0.000000000000000000e+00 -1.486183083306965094e-02 -3.254339011034632626e-05 0.000000000000000000e+00
2.970082500000000181e+01 1.048766487508173972e-01 2.102803189556730161e-04 0.000000000000000000e+00 -2.087097636483825765e-05 1.004208615928246437e-02 0.000000000000000000e+00 -4.700986525098339365e-04 2.045483503420270355e-01 0.000000000000000000e+00 -1.604869640799641908e-02 -3.475615324076531629e-05 0.000000000000000000e+00
3.170018999999999920e+01 1.263202388025866929e-01 2.549586046275341368e-04 0.000000000000000000e+00 -2.388874780567582743e-05 1.143914281360825132e-02 0.000000000000000000e+00 -5.417085625698366469e-04 2.378073702696432146e-01 0.000000000000000000e+00 -1.722238241425167946e-02 -3.686582940677209726e-05 0.000000000000000000e+00
3.370016999999999996e+01 1.507504414580580765e-01 3.060924474130844418e-04 0.000000000000000000e+00 -2.731127982373483148e-05 1.302123181896776456e-02 0.000000000000000000e+00 -6.174293096720728834e-04 2.734036411442502534e-01 0.000000000000000000e+00 -1.836036639094788467e-02 -3.881065111265518232e-05 0.000000000000000000e+00
3.570015000000000072e+01 1.785397187320336976e-01 3.644986903872325635e-04 0.000000000000000000e+00 -3.117881851140406635e-05 1.480635192916700954e-02 0.000000000000000000e+00 -6.967739499460068710e-04 3.111981130950859931e-01 0.000000000000000000e+00 -1.942340794519808317e-02 -4.049185225950162808e-05 0.000000000000000000e+00
3.770013000000000147e+01 2.101276406939654728e-01 4.311389917348666645e-04 0.000000000000000000e+00 -3.554164677327215728e-05 1.681847214018792128e-02 0.000000000000000000e+00 -7.793199895764425962e-04 3.510976982337253305e-01 0.000000000000000000e+00 -2.049028436498489397e-02 -4.206541237428405064e-05 0.000000000000000000e+00
3.970072499999999849e+01 2.459795330117077461e-01 5.070262360956750676e-04 0.000000000000000000e+00 -4.041115046185611234e-05 1.906305772652214930e-02 0.000000000000000000e+00 -8.650169783401442762e-04 3.931900371689583951e-01 0.000000000000000000e+00 -2.158264881367069274e-02 -4.356887916869030258e-05 0.000000000000000000e+00
4.170009000000000299e+01 2.865557249745025459e-01 5.931679766016140524e-04 0.000000000000000000e+00 -4.586636179883328801e-05 2.157565972405845259e-02 0.000000000000000000e+00 -9.534470949035308424e-04 4.374049407867652284e-01 0.000000000000000000e+00 -2.264285069804632816e-02 -4.485446048513467768e-05 0.000000000000000000e+00
4.370007000000000374e+01 3.324877962282065114e-01 6.909422494547136665e-04 0.000000000000000000e+00 -5.203815860828512810e-05 2.441589970622630792e-02 0.000000000000000000e+00 -1.044193831209460320e-03 4.837052851420607924e-01 0.000000000000000000e+00 -2.363980459252715272e-02 -4.582062600297477037e-05 0.000000000000000000e+00
4.570004999999999740e+01 3.842940244191595522e-01 8.014854306460308811e-04 0.000000000000000000e+00 -5.842943143848466198e-05 2.735550443206017507e-02 0.000000000000000000e+00 -1.136519577673068132e-03 5.318972661368187582e-01 0.000000000000000000e+00 -2.453790841330256295e-02 -4.648156889000340785e-05 0.000000000000000000e+00
4.770002999999999815e+01 4.417485506716142263e-01 9.243094014559154973e-04 0.000000000000000000e+00 -6.429792583158514137e-05 3.005466887284228075e-02 0.000000000000000000e+00 -1.230072532796456066e-03 5.818155770859910758e-01 0.000000000000000000e+00 -2.537614189144396862e-02 -4.707555088997126007e-05 0.000000000000000000e+00
