WS_[m/s]	RotSpeed_[rpm]	BldPitch_[deg]	GenSpeed_[rpm]	GenPower_[kW]	GenTorque_[kN-m]	RtAeroFxh_[kN]	RtAeroMxh_[kN-m]	RotThrust_[kN]	RotTorq_[kN-m]	TTDspFA_[m]	TTDspSS_[m]	RtAeroCp_[-]	RtAeroCt_[-]	RtTSR_[-]
15.25	12.1	10.3917	1173.7001	5000.0	43.0936	407.0339803	4156.0879665	500.5314	4184.7493	0.0	0.0	0.2001	0.2337	5.2769
15.5	12.1	10.8151	1173.7003	5000.0019	43.0936	398.3673668	4156.0709201	491.8652	4184.7519	0.0	0.0	0.1906	0.2214	5.1918
15.75	12.1	11.2268	1173.7	5000.0038	43.0936	390.27475599999997	4156.0634623	483.7712	4184.7532	0.0	0.0	0.1816	0.2101	5.1094
16.0	12.1	11.6282	1173.6993	5000.0034	43.0936	382.670514	4156.0677239	476.1677	4184.7617	0.0	0.0	0.1732	0.1996	5.0296
16.25	12.1	12.0197	1173.7012	5000.0023	43.0935	375.57447629999996	4156.0741163	469.0709	4184.7611	0.0	0.0	0.1654	0.1899	4.9522
16.5	12.1	12.4038	1173.7002	5000.0042	43.0936	368.7898877	4156.0467711	462.2861	4184.7624	0.0	0.0	0.158	0.1809	4.8771
16.75	12.1	12.7785	1173.6999	5000.005	43.0936	362.4784714	4156.0485468	455.9741	4184.767	0.0	0.0	0.151	0.1725	4.8043
17.0	12.1	13.147	1173.7014	5000.0046	43.0936	356.45456290000004	4156.065238	449.9487	4184.7666	0.0	0.0	0.1444	0.1647	4.7337
17.25	12.1	13.5078	1173.7006	5000.0061	43.0936	350.8438937	4156.0425095	444.3388	4184.7712	0.0	0.0	0.1382	0.1575	4.6651
17.5	12.1	13.8534	1173.7018	5000.0061	43.0936	346.1265677	4156.0069963000005	439.6228	4184.7689	0.0	0.0	0.1324	0.1509	4.5985
17.75	12.1	14.1941	1173.7017	5000.0084	43.0936	341.6914708	4156.0442852	435.1879	4184.7748	0.0	0.0	0.1269	0.1448	4.5337
18.0	12.1	14.5337	1173.7023	5000.0088	43.0936	337.44779700000004	4156.0375377	430.9455	4184.7791	0.0	0.0	0.1217	0.1391	4.4707
18.25	12.1	14.8682	1173.7017	5000.0069	43.0936	333.3931469	4155.9796510999995	426.8932	4184.7774	0.0	0.0	0.1167	0.1337	4.4095
